,Station,Issue date/time,Validity from,Validity To,Wind dir (deg),Wind Speed,Gust,Significant Wx,FCST/OBS
0,VABB,040730,040800Z,041200Z,250,17KT,27KT,,FCST
1,VABB,060715,060730Z,061130Z,270,17KT,27KT,,FCST
2,VABB,062300,062300Z,070300Z,250,17KT,27KT,,OBS
3,VABB,100330,100400Z,100800Z,270,17KT,27KT,,FCST
4,VABB,100730,100800Z,101200Z,270,17KT,27KT,,FCST
5,VABB,110630,110700Z,111100Z,,17KT,27KT,,FCST
6,VABB,111030,111100Z,111500Z,250,17KT,27KT,,FCST
7,VABB,111300,111330Z,111730Z,250,17KT,27KT,TSRA,FCST
8,VABB,120800,120830Z,121230Z,250,17KT,27KT,,FCST
9,VABB,161030,161100Z,161500Z,250,17KT,27KT,,FCST
10,VABB,162325,162330Z,170330Z,250,17KT,27KT,,OBS
11,VABB,170315,170300Z,170730Z,230,17KT,27KT,,OBS
12,VABB,170715,170700Z,171130Z,230,17KT,30KT,,OBS
13,VABB,171045,171100Z,171530Z,250,17KT,27KT,,
14,VABB,172300,172330Z,180330Z,230,17KT,27KT,,FCST
15,VABB,180415,180400Z,180830Z,230,17KT,27KT,,OBS
16,VABB,180745,180800Z,181230Z,230,17KT,27KT,,FCST
17,VABB,181145,181200Z,181630Z,230,17KT,27KT,,FCST
18,VABB,181730,181730Z,182200Z,230,17KT,27KT,,FCST
19,VABB,190545,190600Z,191000Z,230,17KT,27KT,,FCST
20,VABB,200530,200600Z,201000Z,200,17KT,27KT,,FCST
21,VABB,200830,200900Z,201300Z,200,17KT,27KT,TSRA,FCST
22,VABB,201230,201300Z,201700Z,180,17KT,27KT,TSRA,FCST
23,VABB,201630,201700Z,202100Z,160,17KT,27KT,TSRA,FCST
24,VABB,202130,202200Z,210200Z,160,17KT,27KT,TSRA,FCST
25,VABB,210130,210200Z,210600Z,180,17KT,27KT,TSRA,FCST
26,VABB,210930,211000Z,211400Z,200,17KT,27KT,-TSRA,FCST
27,VABB,211330,211400Z,211800Z,200,17KT,27KT,-TSRA,FCST
28,VABB,211730,211800Z,212200Z,200,17KT,27KT,-TSRA,FCST
29,VABB,212130,212200Z,220200Z,200,17KT,27KT,TSRA,FCST
30,VABB,220630,220700Z,221100Z,,,,TSRA,
31,VABB,221530,221600Z,222000Z,180,17KT,27KT,TSRA,FCST
32,VABB,221930,222000Z,230000Z,180,17KT,27KT,TSRA,FCST
33,VABB,222330,230000Z,230400Z,180,17KT,27KT,TSRA,FCST
34,VABB,230630,230700Z,231100Z,250,17KT,27KT,TSRA,FCST
35,VABB,231130,231200Z,231600Z,,,,TSRA,FCST
36,VABB,231640,231700Z,232100Z,,,,TSRA,FCST
37,VABB,240615,240630Z,241100Z,250,17KT,27KT,-TSRA,FCST
38,VABB,241230,241300Z,241700Z,,,,TSRA,FCST
39,VABB,250430,250500Z,250900Z,230,17KT,27KT,,FCST
40,VABB,251300,251330Z,251730Z,290,17KT,27KT,TSRA,FCST
41,VABB,261230,261300Z,261700Z,290,17KT,27KT,TS,FCST
42,VABB,261630,261700Z,262100Z,,,,TSRA,FCST
43,VABB,270700,270730Z,271130Z,,,,TSRA,
44,VABB,271430,271500Z,271900Z,70,17KT,27KT,+TSRA,FCST
45,VABB,280700,280730Z,281130Z,70,17KT,27KT,-TS,FCST
46,VABB,280945,280930Z,281400Z,230,17KT,27KT,TSRA,OBS
47,VABB,281615,281600Z,282030Z,50,17KT,27KT,-TSRA,OBS
48,VABB,290700,290730Z,291130Z,290,17KT,27KT,-TS,FCST
49,VABB,291100,291130Z,291530Z,,,,TSRA,FCST
50,VABB,291500,291530Z,291930Z,,,,TSRA,FCST
51,VABB,291500,291530Z,291930Z,,,,TSRA,FCST
52,VABB,301330,301400Z,301800Z,70,20KT,30KT,,OBS
53,VABB,301415,301430Z,301830Z,,,,TSRA,OBS
54,VABB,301800,301830Z,302230Z,20,20KT,30KT,TSRA,FCST
55,VABB,302200,302230Z,010230Z,20,17KT,27KT,TSRA,FCST
